Adela
Adriána
Agáta
Agnesa
Alana
Albína
Alena
Alexandra
Alexia
Alica
Alojzia
Alžbeta
Amália
Anabela
Anastázia
Andrea
Aneta
Anežka
Angela
Angelika
Anna
Antónia
Aurélia
Auróra
Barbara
Barbora
Beáta
Berta
Bianka
Bibiána
Blanka
Blažena
Bohdana
Bohumila
Bohuslava
Božena
Božidara
Branislava
Brigita
Bronislava
Cecília
Dagmara
Dana
Danica
Daniela
Dária
Darina
Daša
Denisa
Diana
Dobromila
Dobroslava
Dominika
Dorota
Drahomíra
Drahoslava
Dušana
Edita
Ela
Elena
Eliána
Eleonóra
Elisa
Eliška
Elvíra
Ema
Emília
Erika
Ernestína
Estera
Etela
Eugénia
Eva
Filoména
Františka
Gabriela
Galina
Gertrúda
Gizela
Gréta
Hana
Hedviga
Helena
Henrieta
Hermína
Hilda
Hortenzia
Ida
Ingrida
Irena
Irina
Irma
Ivana
Iveta
Ivona
Izabela
Jadrana
Jana
Jarmila
Jaromíra
Jaroslava
Jela
Jelena
Jolana
Jozefína
Judita
Júlia
Juliana
Justína
Kamila
Karina
Karla
Karolína
Katarína
Klára
Klaudia
Kornélia
Kristína
Kveta
Kvetoslava
Ľubica
Ľubomíra
Ľuboslava
Ľudmila
Lýdia
Larisa
Laura
Lea
Leokádia
Leonarda
Leontína
Lesana
Libuša
Liliana
Linda
Lucia
Ľudovíta
Luigina
Luisa
Lukrécia
Luna
Lýdia
Magdaléna
Malvína
Margita
Margita
Mariana
Marie
Marianna
Mária
Marína
Marta
Martina
Matilda
Melánia
Miroslava
Milada
Milena
Milica
Miloslava
Miriama
Natália
Nina
Noema
Nora
Oľga
Otília
Oxana
Patrícia
Paulína
Petra
Petronela
Radmila
Radomíra
Radoslava
Regina
Renáta
Rita
Romana
Rozália
Ružena
Sabína
Sidónia
Simona
Slavomíra
Soňa
Stanislava
Stela
Svetlana
Sylva
Sylvia
Šarlota
Štefánia
Tamara
Tatiana
Terézia
Tímea
Uršuľa
Vanda
Valéria
Viera
Vieroslava
Viola
Violetta
Vladimíra
Vlasta
Xénia
Zdenka
Zina
Zita
Zlatica
Zlata
Zora
Zuzana
