Adamec
Alexovič
Antoš
Azari
Aľušík
Babač
Babej
Babiak
Badura
Bajus
Bališ
Baláž
Bambúch
Banáš
Baran
Bartoš
Bauman
Bača
Bednář
Belišek
Belobrad
Belušek
Beláň
Benk
Berberich
Berec
Bečarik
Beľan
Birkner
Birk
Blaškovič
Bobak
Bochník
Bodnář
Boháč
Boďa
Boňka
Božik
Breh
Brozman
Bubl
Budiš
Bugár
Bull
Buzogáň
Búza
Cabaj
Cap
Cehlárik
Chalupecký
Chladoň
Chovanec
Chudík
Chytil
Chár
Cigáň
Cmorík
Cvolig
Daniš
Dank
Deržák
Dibák
Dinda
Doboš
Drapáč
Dubovický
Dudro
Dudáš
Dunček
Dušek
Dvorský
Dzubinský
Džubinský
Eliáš
Fašiang
Fedorčík
Fejk
Ferenc
Fico
Figura
Fiľ
Frajkor
Fridrich
Fujd
Fulko
Füle
Gajdoš
Galko
Gašpar
Geletko
Gergelčík
Gerul
Glez
Gmitro
Gomboš
Gondo
Gordón
Gregor
Grobár
Gurbáľ
Gážik
Hack
Hagar
Hajník
Halák
Hamrák
Haneš
Hebelk
Hilmer
Hlavaček
Holing
Holík
Horenský
Horkovič
Hor
Horváth
Hovanec
Hošták
Hrabčák
Husovský
Husár
Hušl
Ihnat
Ivanecký
Ištok
Ištván
Jablonský
Jack
Jakubec
Janolk
Jarábko
Jerigo
Jezerský
Juhás
Jurečko
Kacvinský
Kahanc
Kaliňák
Kander
Kaplár
Kapustík
Karabaš
Karabin
Karaff
Katreniak
Kazík
Kašper
Kertés
Kiapeš
Kimák
Kiša
Kišš
Kmec
Kocel
Koch
Kocúr
Koleník
Kolesár
Kollárik
Kollár
Kolárčik
Komar
Komiňák
Kondík
Konečný
Korb
Korupecký
Korínek
Korčok
Kosztúr
Kovalčík
Kovaľ
Kováčik
Kováč
Koziak
Kočko
Košud
Kožár
Krafčík
Krajňák
Krivák
Križan
Krok
Krát
Kríž
Kulič
Kundrát
Kuzmický
Kučer
Kvocer
Kyseľ
Kňazík
Lacko
Lakatoš
Lakomčík
Lapoš
Lapuník
Lašák
Lehok
Lenart
Lichý
Lipko
Lipták
Ludvík
Lukáč
Lunter
Lupták
Marcin
Mariňák
Marák
Masarik
Matovíč
Mačej
Mihálik
Mihók
Mikolaj
Mikč
Minčík
Mitro
Mižák
Modranský
Molnár
Moravec
Moravčík
Mrázik
Múdry
Nazad
Nemec
Norko
Novotný
Novák
Olejár
Olšavský
Ondo
Ondrejko
Onufrak
Opálený
Oravec
Orlovský
Ovčarik
Oľha
Pagáč
Palenčár
Palko
Palút
Palč
Parničan
Pastorák
Paulišin
Pavelic
Pavlinský
Pavlovič
Pavúk
Paľo
Pecník
Pekarík
Pekný
Pempek
Petrovský
Petrušek
Piatniček
Pilárik
Plocar
Podmanický
Pokorný
Polomský
Polák
Pondelík
Pospíšil
Potocký
Prašovský
Páll
Pír
Pčolko
Radič
Repaský
Revay
Richter
Rusiňák
Rusnák
Ružbarský
Rybár
Rycheľ
Rákoš
Ráši
Sabol
Sabolík
Sakalík
Sarvaš
Sax
Schwarcz
Schütz
Sedlák
Sedlár
Sedláček
Sekáč
Seman
Siman
Sitkanič
Sitkár
Sivoň
Siváň
Sklenka
Sklenčár
Sklár
Skvašík
Slamink
Slavko
Slimák
Slivenský
Slušný
Sládeček
Sládkay
Sládkovič
Slám
Smažák
Smerek
Smetan
Smoroň
Smoter
Smutný
Smäd
Sobot
Sollár
Sontag
Sontág
Sopka
Soták
Spišiak
Stanovský
Staurovský
Stehlík
Steiner
Stejskal
Strak
Studený
Styk
Suchánok
Sudimák
Sulík
Surman
Surák
Surňák
Sučko
Sušil
Svarinský
Szabo
Szilasi
Székely
Sádovský
Sámel
Súkeník
Sýkor
Takáč
Talian
Tamáš
Tancoš
Tančák
Tarasovič
Temiak
Teník
Tešlár
Tillinger
Tirpák
Tivadar
Tkáčik
Tkáč
Tlučko
Tokár
Tomášik
Tot
Trebul
Trnkov
Tum
Tučko
Tyčo
Uhlík
Uličný
Urban
Vajda
Valach
Valent
Varga
Vavrenc
Vaňa
Vaško
Vaščura
Veselý
Veverka
Vitáliš
Višňovský
Vlas
Vlhov
Vlk
Vojtek
Volný
Vozár
Vrbík
Vysokai
Válk
Výlupk
Weiss
Zachar
Zbín
Zelený
Zemčák
Zmor
Zošák
Zrník
Zvar
Zvirin
Zámečník
Závad
Zúbkov
Áč
Čajko
Čapk
Čaput
Čarnogur
Čačan
Čačan
Čač
Čech
Černický
Černý
Černák
Čičvák
Čižik
Čopák
Čorej
Čuboň
Čurill
Čurpakovič
Ďaďov
Ďurdin
Ďuric
Ďurind
Ďurišin
Ďurčanský
Šalamon
Šantavý
Šarvaic
Šaňo
Šebian
Šefčík
Šeling
Šimeček
Šimko
Šmid
Šmilňák
Šoltés
Špak
Špiner
Šprlák
Šramok
Štec
Štefko
Štelback
Šterb
Števčík
Štovčik
Študent
Šutaj
Švorc
Šťastný
Ťapušík
Žalman
Ždiňák
Žid
Žiga
Žilk
Žitniak
Žulták
Župa
Žák
