Adamcová
Alexovičová
Antošová
Azariová
Aľušíková
Babačová
Babejová
Babiaková
Badurová
Bajusová
Bališová
Balážová
Bambúchová
Banášová
Baranová
Bartošová
Baumanová
Bačová
Bednárová
Belišková
Belobradová
Belušková
Beláňová
Benková
Berberichová
Berecová
Bečariková
Beľanová
Birknerová
Birková
Blaškovičová
Bobaková
Bochňová
Bodnárová
Boháčová
Boďová
Boňková
Božiková
Brehová
Brozmanová
Bublová
Budišová
Bugárová
Bullová
Buzogáňová
Búzová
Cabajová
Capová
Cehláriková
Chalupecká
Chladoňová
Chovancová
Chudíková
Chytilová
Chárová
Cigáňová
Cmoríková
Cvoligová
Danišová
Danková
Deržáková
Dibáková
Dindová
Dobošová
Drapáčová
Dubovická
Dudrová
Dudášová
Dunčková
Dušeková
Dvorská
Dzubinská
Džubinská
Eliášová
Fašiangová
Fedorčíková
Fejková
Ferencová
Ficová
Figulová
Figura
Fiľová
Frajkorová
Fridrichová
Fujdová
Fulková
Füleová
Gajdošová
Galková
Gašparová
Geletková
Gergelčíková
Gerulová
Glezová
Gmitrová
Gombošová
Gondová
Gordoňová
Gregorová
Grobárová
Gurbáľová
Gážiková
Hacková
Hagarová
Hajníková
Haláková
Hamráková
Hanesová
Hebelková
Hilmerová
Hlavačková
Holingová
Holíková
Horenská
Horkovičová
Horová
Horváthová
Hovanecová
Hoštáková
Hrabčáková
Husovská
Husárová
Hušlová
Ihnatková
Ivanecká
Ištoková
Ištvánová
Jablonská
Jacková
Jakubecová
Janolková
Jarábková
Jerigová
Jezerská
Juhásová
Jurečková
Kacvinská
Kahancová
Kaliňáková
Kanderová
Kaplárová
Kapustíková
Karabašová
Karabinová
Karaffová
Katreniaková
Kazíká
Kašperová
Kertésová
Kiapešová
Kimáková
Kišacová
Kišeľa
Kiššová
Kmecová
Kocelová
Kochová
Kocúrková
Koleníková
Kolesárová
Kolláriková
Kollárová
Kolárčiková
Komarová
Komiňáková
Kondiková
Konečná
Korbová
Korupecká
Koríneková
Korčoková
Kosztúrová
Kovalčíková
Kovaľová
Kováčiková
Kováčová
Koziaková
Kočková
Košudová
Kožárová
Krafčíková
Krajňáková
Kriváková
Križanová
Kroková
Krátka
Krížová
Kuličová
Kundrátová
Kuzmická
Kučerová
Kvocerová
Kyseľová
Kňazíková
Lacková
Lakatošová
Lakomčíková
Lapošová
Lapuníková
Lašáková
Lehocká
Lenartová
Lichá
Lipková
Liptáková
Ludvíková
Lukáčová
Lunterová
Luptáková
Marcinová
Mariňáková
Maráková
Masariková
Matovíčová
Mačejová
Miháliková
Mihóková
Mikolajová
Mikčová
Minčíková
Mitrová
Mižáková
Modranská
Molnárová
Moravcová
Moravčíková
Mráziková
Múdra
Nazadová
Nemcová
Norková
Novotná
Nováková
Olejárová
Olšavská
Ondová
Ondrejková
Onufraková
Opálená
Oravcová
Orlovská
Ovčariková
Oľhová
Pagáčová
Palenčárová
Palková
Palútková
Palčová
Parničanová
Pastoráková
Paulišinová
Pavelicová
Pavlinská
Pavlovičová
Pavúková
Paľová
Pecníková
Pekaríková
Pekná
Pempeková
Petrovská
Petrušková
Piatničková
Piláriková
Plocarová
Podmanická
Pokorná
Polomská
Poláková
Pondelíková
Pospíšilová
Potocká
Prašovská
Pállová
Pírová
Pčolková
Radičová
Repaská
Revayová
Richterová
Rusiňáková
Rusnáková
Ružbarská
Rybárová
Rychelová
Rákošová
Rášiová
Sabolová
Sabolíková
Sakalíková
Sarvašová
Saxová
Schwarczová
Schützová
Sedláková
Sedlárová
Sedláčková
Sekáčová
Semanová
Simanová
Sitkaničová
Sitkárová
Sivoňová
Siváňová
Sklenková
Sklenčárová
Sklárová
Skvašíková
Slaminková
Slavko
Slimáková
Slivenská
Slušná
Sládečková
Sládkayová
Sládkovičová
Slámová
Smažáková
Smereková
Smetanová
Smoroňová
Smoterová
Smutná
Smädová
Sobotová
Sollárová
Sontagová
Sontágová
Sopková
Sotáková
Spišiaková
Stanovská
Staurovská
Stehliková
Steinerová
Stejskalová
Straková
Studenková
Styková
Suchánková
Sudimáková
Sulíková
Surmanková
Suráková
Surňáková
Sučková
Sušilová
Svarinská
Szabová
Szilasiová
Székelyová
Sádovská
Sámelová
Súkeníková
Sýkorová
Takáčová
Talianová
Tamášová
Tancošová
Tančáková
Tarasovičová
Temiaková
Teniková
Tešlárová
Tillingerová
Tirpáková
Tivadarová
Tkáčiková
Tkáčová
Tlučková
Tokárová
Tomášiková
Totová
Trebulová
Trnková
Tumová
Tučková
Tyčová
Uhlíková
Uličná
Urbanová
Vajdová
Valachová
Valentová
Vargová
Vavrencová
Vaňová
Vašková
Vaščurová
Veselská
Veverková
Vitálišová
Višňovská
Vlasatá
Vlhová
Vlková
Vojteková
Volná
Vozárová
Vrbická
Vysokaiová
Válková
Výlupková
Weissová
Zacharová
Zbínová
Zelená
Zemčáková
Zmorová
Zošáková
Zrníková
Zvarová
Zvirinská
Zámečníková
Závadská
Zúbková
Áčová
Čajková
Čapková
Čaputová
Čarnogurská
Čačanová
Čačaná
Čačová
Čechová
Černická
Černá
Černáková
Čičváková
Čižiková
Čopáková
Čorejová
Čuboňová
Čurillová
Čurpakovičová
Ďaďovská
Ďurdinová
Ďuricová
Ďurindová
Ďurišinová
Ďurčanská
Šalamonová
Šantavá
Šarvaicová
Šaňová
Šebianová
Šefčíková
Šelingová
Šimečková
Šimková
Šmidová
Šmilňáková
Šoltésová
Špaková
Špinerová
Šprláková
Šramková
Štecová
Štefková
Štelbacká
Šterbová
Števčíková
Štovčiková
Študencová
Šutajová
Švorcová
Šťastná
Ťapušíková
Žalmanová
Ždiňáková
Židová
Žigová
Žilková
Žitniaková
Žultáková
Župová
Žáková



























































































































































































































































































































































































