Adam
Adolf
Adrián
Aladár
Alan
Albert
Albín
Aleš
Alexander
Alex
Alexej
Alfonz
Alfréd
Alojz
Ambróz
Andreas
Andrej
Anton
Arnold
Artur
Arpád
Atila
Augustín
Aurel
Áron
Bartolomej
Belo
Beňadik
Benedikt
Benjamín
Bernard
Blahoslav
Blažej
Bohdan
Bohumil
Bohumír
Bohuš
Bohuslav
Boleslav
Bonifác
Boris
Branislav
Bronislav
Bruno
Bystrík
Ctibor
Cyprián
Cyril
Dalibor
Damián
Daniel
Dárius
Dávid
Demeter
Denis
Dezider
Dionýz
Dobroslav
Dominik
Drahomír
Drahoslav
Dušan
Edmund
Eduard
Eliáš
Emanuel
Emil
Erich
Erik
Ernest
Ervín
Eugen
Fedor
Félix
Ferdinand
Filip
Florián
František
Frederik
Fridrich
Gabriel
Gašpar
Gejza
Gregor
Gustáv
Henrich
Hubert
Hugo
Ignác
Igor
Imrich
Ivan
Izidor
Ján
Jakub
Jerguš
Juraj
Karol
Kazimír
Koloman
Kornel
Kristián
Krištof
Ľubomír
Ľubor
Ľudomil
Ľudovít
Leo
Leonard
Leopold
Leonid
Libor
Marcel
Marek
Marián
Martin
Matúš
Maximilián
Medard
Metod
Michal
Mikuláš
Miloš
Miloslav
Miroslav
Mojmír
Móric
Norbert
Oldrich
Oliver
Ondrej
Oskar
Oto
Patrik
Pavol
Peter
Prokop
Radomír
Radovan
Rastislav
Renáto
Richard
Róbert
Roland
Roman
Rudolf
Samuel
Servác
Severín
Silvester
Stanislav
Šimon
Štefan
Tadeáš
Teodor
Tibor
Timotej
Tomáš
Urban
Václav
Valentín
Valér
Vavrinec
Viliam
Vincent
Vít
Vladimír
Vladislav
Vlastimil
Vojtech
Vratislav
Zdenko
Zdeno
Žigmund
Zlatko
Zoltán
Zoran
